comparison,metric,mean,ci95,lower95,upper95,better_seeds,n,split
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,failure_family_f1,0.17167388167388167,0.12031346826976269,0.05136041340411898,0.2919873499436444,7,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,task_success,-0.08263888888888886,0.1716769491806415,-0.25431583806953034,0.08903806029175264,2,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,dominant_failure_rate,-0.0020833333333333324,0.08408342764904758,-0.08616676098238091,0.08200009431571426,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,safety_violation_rate,0.033680555555555554,0.04826189844017102,-0.014581342884615468,0.08194245399572658,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,intervention_cost,-0.006681975333333332,0.010362056741864406,-0.017044032075197738,0.0036800814085310744,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,unnecessary_intervention_rate,0.0003472222222222222,0.0006805555555555554,-0.00033333333333333327,0.0010277777777777776,1,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,planning_regret_to_oracle,0.024091912896203802,0.03161065621859934,-0.007518743322395539,0.05570256911480315,8,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,robust_utility,-0.12746604418104038,0.22661797112112622,-0.3540840153021666,0.09915192694008584,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,dominant_failure_accuracy,0.184375,0.150252152104739,0.034122847895261016,0.33462715210473903,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,top2_failure_recall,0.115625,0.10220953618695,0.013415463813050005,0.21783453618695,7,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,calibration_error,-0.005980338799451436,0.10945249354008779,-0.11543283233953923,0.10347215474063635,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,early_warning_lead_time,0.2534037500000001,0.018728656018080155,0.23467509398191994,0.27213240601808025,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,cross_morphology_generalization_gap,-0.017413333333333336,0.0,-0.017413333333333336,-0.017413333333333336,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,morphology_shift_detection,0.06489026669534087,0.007082769018510077,0.05780749767683079,0.07197303571385094,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,failure_family_f1,0.18188330122258695,0.12929420964379862,0.05258909157878833,0.31117751086638556,7,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,task_success,-0.07326388888888888,0.06826280941838944,-0.14152669830727832,-0.005001079470499437,3,10,actuator_degradation_shift
