seed,ablation,dominant_failure_accuracy,top2_failure_recall,calibration_error,early_warning_lead_time,cross_morphology_generalization_gap,morphology_shift_detection,failure_family_f1,task_success,dominant_failure_rate,safety_violation_rate,intervention_cost,unnecessary_intervention_rate,planning_regret_to_oracle,robust_utility
3,full_cost_calibrated_failure_predictive_morphology_v5,0.5,0.625,0.09201240604238674,0.7526973333333334,0.10614966666666667,0.5855819489572284,0.31736432374577217,0.5642361111111112,0.1987847222222222,0.11458333333333333,0.012794281315972222,0.0,0.22830289984115693,0.10036856636059861
3,minus_confidence_gate,0.7369791666666666,0.7369791666666666,0.17269743216334427,0.7829837916666668,0.10614966666666667,0.5793720851497601,0.5242914775553664,0.5338541666666666,0.23350694444444445,0.11458333333333333,0.0276498079375,0.0,0.18476305029576995,0.06204289566553048
3,minus_constraint_family_head,0.484375,0.6362847222222222,0.08155776402764799,0.7521938611111112,0.10614966666666667,0.5793356001735975,0.2861073014470832,0.8394097222222222,0.0,0.1736111111111111,0.030384841437499997,0.0,0.1688957831148601,0.4904956065060563
3,minus_cost_calibration,0.7838541666666666,0.7838541666666666,0.44584158586966466,0.7909525416666667,0.10614966666666667,0.5881097449607442,0.5711163919670864,0.8585069444444444,0.014756944444444444,0.07378472222222222,0.026546016375,0.0,0.13311793881397252,0.6562194440371272
3,minus_failure_history,0.7404513888888888,0.7404513888888888,0.26772585434122226,0.7723780694444445,0.12479766666666667,0.5961038199367092,0.5253945398737065,0.4982638888888889,0.1267361111111111,0.16927083333333334,0.023013122697916666,0.0,0.21912728856690883,0.021541451122434652
3,minus_morphology_embedding,0.4375,0.6875,0.07540265681844603,0.7520723333333335,0.22688466666666668,0.3041527916604998,0.26170037606793556,0.7517361111111112,0.15625,0.09635416666666667,0.02830137996875,0.0,0.18419095188729187,0.364624115470736
3,minus_online_correction,0.75,0.75,0.2193676416549366,0.7652933333333334,0.13702833333333334,0.5739942935215815,0.5375202131972965,0.5894097222222222,0.25,0.22743055555555555,0.006000823624999999,0.0,0.2722380182933121,0.009797900722777291
3,morphology_only,0.1449652777777778,0.1449652777777778,0.17968231506070714,0.6611934305555556,0.134347,0.5747087819805706,0.07523871199714453,0.25,0.6050347222222222,0.0,0.012097372291666665,0.0,0.3262677788390619,-0.4678590404963711
3,online_adaptation_only,0.3194444444444444,0.5694444444444444,0.09252947580196685,0.745686888888889,0.19434933333333335,0.5846435852954157,0.1802089488994251,0.3524305555555556,0.578125,0.07725694444444445,0.02445649935763889,0.0,0.2682458444742315,-0.40541814084289957
4,failure_history_only,0.2777777777777778,0.5902777777777778,0.08201150482353847,0.7299195555555557,0.20647466666666664,0.36716314917644405,0.15260131669109844,0.7803819444444444,0.036458333333333336,0.13020833333333334,0.019267736732638888,0.0,0.18891161651352747,0.4475462480219544
4,full_cost_calibrated_failure_predictive_morphology_v5,0.7795138888888888,0.875,0.2229545774254506,0.7978535833333334,0.10614966666666667,0.5807231661459259,0.6064657879414824,0.5043402777777778,0.0954861111111111,0.006944444444444444,0.024971429187499998,0.0,0.15666946606008292,0.29836506395690027
4,minus_confidence_gate,0.6597222222222222,0.7838541666666666,0.1409747095432261,0.7797806666666668,0.10614966666666667,0.5856573520655155,0.43646745743967963,0.7578125,0.0,0.011284722222222222,0.02024013089236111,0.0,0.13033838565395467,0.6433616683628914
4,minus_constraint_family_head,0.140625,0.6163194444444444,0.24382997206289822,0.719659138888889,0.10614966666666667,0.5647967403223261,0.08165479077433442,0.4878472222222222,0.3914930555555556,0.125,0.015790174506944445,0.0,0.2786785993726544,-0.13190564253957499
4,minus_cost_calibration,0.75,0.75,0.42040461799948564,0.7851973333333334,0.10614966666666667,0.5961038199367092,0.5153565075613686,0.5017361111111112,0.125,0.2013888888888889,0.0353946885,0.0008680555555555555,0.2116236932224281,-0.014237806191810781
4,minus_failure_history,0.625,0.625,0.10065565036560832,0.7527513333333334,0.12479766666666667,0.572031542766414,0.40044562690396024,0.8463541666666666,0.0685763888888889,0.07465277777777778,0.016642083086805554,0.0,0.16008507862847185,0.5786285909043405
4,minus_morphology_embedding,0.18836805555555555,0.4123263888888889,0.18180301840874874,0.7076365694444445,0.22688466666666668,0.32804224580393954,0.09992244463722638,0.7456597222222222,0.2534722222222222,0.1154513888888889,0.0417498860625,0.0008680555555555555,0.20028207207943943,0.23940919803848962
4,minus_online_correction,0.8723958333333334,0.8723958333333334,0.337503699456045,0.7861006250000001,0.13702833333333334,0.5834735102613807,0.7109904498793388,0.4973958333333333,0.12760416666666666,0.08246527777777778,0.025037606496527778,0.0,0.18339428837643884,0.1525879779908331
4,morphology_only,0.5,0.5,0.19130898550778108,0.7215493333333334,0.134347,0.5887620118431746,0.3171541019606496,0.5642361111111112,0.3663194444444444,0.0,0.024003294499999998,0.0,0.22925396816732613,0.09990129531342726
4,online_adaptation_only,0.4236111111111111,0.6111111111111112,0.05234393693086459,0.7583952222222223,0.19434933333333335,0.5749439265262698,0.2401942313822274,0.8133680555555556,0.1362847222222222,0.0,0.023028853819444445,0.0,0.14462671713948097,0.5927385915613911
5,failure_history_only,0.4375,0.625,0.10740325858386032,0.7470723333333334,0.20647466666666664,0.35310909374284594,0.24841910340174228,0.5364583333333334,0.4635416666666667,0.125,0.018002470875,0.0,0.27083028314299284,-0.1372289068154546
5,full_cost_calibrated_failure_predictive_morphology_v5,0.75,0.953125,0.19860981304172798,0.8014473333333334,0.10614966666666667,0.569254145208565,0.574058377964628,0.7317708333333334,0.15711805555555555,0.125,0.03157475610069444,0.0,0.13610203716036332,0.3906575532519388
5,minus_confidence_gate,0.96875,1.0,0.4075988081437102,0.8248848333333335,0.10614966666666667,0.5810725025623251,0.9405004306393195,0.6189236111111112,0.0008680555555555555,0.10503472222222222,0.030004118125,0.0,0.11405393760869999,0.393971454292028
5,minus_constraint_family_head,0.625,0.875,0.2556515643463405,0.7839473333333334,0.10614966666666667,0.5890082522650122,0.4222731107626941,0.5555555555555556,0.125,0.0876736111111111,0.018002470875,0.0,0.20487483247592386,0.19445004703976998
5,minus_cost_calibration,0.625,0.625,0.24629157332017323,0.7639473333333334,0.10614966666666667,0.572031542766414,0.39297976714643384,0.8967013888888888,0.04774305555555555,0.10416666666666667,0.0353946885,0.0008680555555555555,0.14180484040426375,0.6129340018920154
5,minus_failure_history,0.5625,0.875,0.08184850930916424,0.7671263333333335,0.12479766666666667,0.5899972425712151,0.3656541201853702,0.8194444444444444,0.0859375,0.0,0.03005004409375,0.0008680555555555555,0.13130458217109925,0.6450851059713764
5,minus_morphology_embedding,0.5625,0.5625,0.19759303625551825,0.7533223333333334,0.22688466666666668,0.3161877458553295,0.3705388717690305,0.6901041666666666,0.125,0.14930555555555555,0.030004118125,0.0008680555555555555,0.18319442743587155,0.26156065874975104
5,minus_online_correction,0.875,0.875,0.3437867510005678,0.7865433333333334,0.13702833333333334,0.5806802192749908,0.694025424164313,0.7447916666666666,0.125,0.1154513888888889,0.012965880562499999,0.0,0.1948367116254922,0.358257086164586
5,morphology_only,0.5,0.625,0.1908471775136074,0.7315493333333334,0.134347,0.5794841572474275,0.3148084515792849,0.75,0.125,0.0,0.0,0.0,0.22108923790529722,0.49523753346629196
5,online_adaptation_only,0.3125,0.4375,0.03142999904932133,0.7345063333333335,0.19434933333333335,0.5653780754758722,0.16841299903799903,0.9557291666666666,0.044270833333333336,0.0,0.027257978500000002,0.0008680555555555555,0.1294076367765859,0.8172874528202788
6,failure_history_only,0.4748263888888889,0.5998263888888888,0.15836343047479992,0.7484178194444445,0.20647466666666664,0.34911410602158155,0.28761637181528055,0.6050347222222222,0.328125,0.2222222222222222,0.006000823624999999,0.0,0.2805960171837344,-0.03708014146616094
6,full_cost_calibrated_failure_predictive_morphology_v5,0.75,0.875,0.1620442971514757,0.7951973333333334,0.10614966666666667,0.5890170066888566,0.5392359485935875,0.7630208333333334,0.0,0.11631944444444445,0.02708555979861111,0.0,0.13552354935372696,0.5105665413207939
6,minus_confidence_gate,0.625,0.75,0.04329429044266373,0.7739473333333334,0.10614966666666667,0.5950486289461553,0.40221323429656763,0.5,0.125,0.2248263888888889,0.015951657506944442,0.0,0.225101387488231,-0.0457822032309978
6,minus_constraint_family_head,0.375,0.375,0.037009163531391734,0.7214473333333334,0.10614966666666667,0.5802110205046025,0.24895025820373043,0.24913194444444445,0.5008680555555556,0.24913194444444445,0.02775552671875,0.0,0.29208542059647097,-0.6270239419914753
6,minus_cost_calibration,0.625,0.875,0.28528974384396494,0.7839473333333334,0.10614966666666667,0.5899972425712151,0.41970816028107694,0.9513888888888888,0.0078125,0.0,0.05336281390625,0.0,0.08489870639326744,0.8616965281557892
6,minus_failure_history,0.7743055555555556,0.875,0.2626513099569106,0.7861888333333334,0.12479766666666667,0.5748277898830548,0.5670737258038845,0.09461805555555555,0.22569444444444445,0.20833333333333334,0.0008461177708333333,0.0,0.2831728102856479,-0.5449558868634952
6,minus_morphology_embedding,0.75,0.75,0.421159813874619,0.7851973333333334,0.22688466666666668,0.3273634980003272,0.508126995817968,0.7456597222222222,0.07899305555555555,0.13194444444444445,0.017848649270833333,0.0008680555555555555,0.18997409922816516,0.3862497799912866
6,minus_online_correction,0.75,0.875,0.1925494949060271,0.7752933333333334,0.13702833333333334,0.5792174020641233,0.5353280188176022,0.5902777777777778,0.125,0.12152777777777778,0.012001647249999999,0.0,0.21122913184199904,0.18510692200365622
6,morphology_only,0.2925347222222222,0.5034722222222222,0.0535536154667831,0.7031552361111112,0.134347,0.5814430482126642,0.1552573650812738,0.4670138888888889,0.4019097222222222,0.0008680555555555555,0.026051676576388887,0.001736111111111111,0.24689378503422926,-0.040495084538891044
6,online_adaptation_only,0.25,0.625,0.09508963732000196,0.7438813333333334,0.19434933333333335,0.5707797915952622,0.13985042936927858,0.7534722222222222,0.001736111111111111,0.0,0.021280744489583333,0.0008680555555555555,0.14729781903282024,0.6392249138789355
7,failure_history_only,0.1875,0.5625,0.13320206230631249,0.7195723333333334,0.20647466666666664,0.35859332276138084,0.11036623677248678,0.5017361111111112,0.3125,0.08680555555555555,0.029257122607638887,0.0008680555555555555,0.24033225517385773,-0.034920230432515374
7,full_cost_calibrated_failure_predictive_morphology_v5,0.875,1.0,0.34125160373749447,0.8164473333333334,0.10614966666666667,0.5877320695403908,0.7218083408361187,0.5946180555555556,0.07118055555555555,0.005208333333333333,0.020105255458333332,0.0,0.14667066153286049,0.4194463664151921
7,minus_confidence_gate,0.5,0.625,0.07108794723990798,0.7526973333333334,0.10614966666666667,0.5699923756458481,0.2984860008818342,0.5338541666666666,0.125,0.19791666666666666,0.033961709677083333,0.0,0.18718402422864752,0.08953031413924223
7,minus_constraint_family_head,0.5078125,0.6328125,0.14824433212304616,0.7540254583333335,0.10614966666666667,0.577555360070328,0.2966514523285357,0.8220486111111112,0.0,0.11631944444444445,0.015986553138888887,0.0,0.15946591843030977,0.5578292137418387
7,minus_cost_calibration,0.875,0.875,0.5025003377221696,0.8064473333333334,0.10614966666666667,0.5748277898830548,0.709807450779673,0.2612847222222222,0.125,0.18836805555555555,0.027799893,0.0,0.1946283164534067,-0.22292512058960692
7,minus_failure_history,0.5,0.75,0.019112971090249835,0.7515013333333335,0.12479766666666667,0.5706774583271664,0.31723899639822256,0.703125,0.1423611111111111,0.0920138888888889,0.027417077725694444,0.0,0.1854359663816398,0.3320758885562896
7,minus_morphology_embedding,0.3463541666666667,0.5963541666666666,0.07794477977199683,0.7365775416666668,0.22688466666666668,0.3181189186287491,0.19805820272834163,0.3368055555555556,0.5703125,0.08506944444444445,0.021610295677083332,0.0,0.28829397782707084,-0.4373116675336371
7,minus_online_correction,0.7829861111111112,1.0,0.2029001308473266,0.7882620833333335,0.13702833333333334,0.5793356001735975,0.6118584893758505,0.8211805555555556,0.0,0.19791666666666666,0.030004118125,0.0,0.16337333697895406,0.4459215331807044
7,morphology_only,0.5651041666666666,0.5651041666666666,0.23202758200411588,0.7326170416666667,0.134347,0.5804889404098419,0.3332516885121052,0.4479166666666667,0.2986111111111111,0.0026041666666666665,0.005323496864583333,0.0,0.2524825935648717,0.027750343070621946
7,online_adaptation_only,0.0,0.359375,0.3386655863828452,0.7001313333333333,0.19434933333333335,0.5936642609926245,0.0,0.7734375,0.2265625,0.0026041666666666665,0.015576299583333335,0.0,0.19370233982698698,0.4467206369048383
8,failure_history_only,0.6727430555555556,0.8125,0.3558724500952121,0.7832442083333334,0.20647466666666664,0.35580003177499087,0.47948649794135906,0.7491319444444444,0.1875,0.11631944444444445,0.014486252996527777,0.0,0.20489116063602972,0.3037900125952306
8,full_cost_calibrated_failure_predictive_morphology_v5,0.875,0.875,0.31798694266078864,0.8064473333333334,0.10614966666666667,0.5884330944839059,0.7121309708809709,0.7109375,0.0,0.12065972222222222,0.03593507038541666,0.0,0.1115715425430796,0.465841985768629
8,minus_confidence_gate,0.75,0.875,0.16346369202862784,0.7951973333333334,0.10614966666666667,0.5920433366764439,0.5430743568417179,0.875,0.0,0.1345486111111111,0.02423386670486111,0.0,0.11410887751467286,0.6160327818336526
8,minus_constraint_family_head,0.5,0.5,0.11771753228857494,0.7426973333333334,0.10614966666666667,0.5837795029462808,0.32630894761103096,0.4809027777777778,0.20225694444444445,0.2638888888888889,0.012048774729166666,0.0,0.2403588916374262,-0.18443706166321222
8,minus_cost_calibration,0.625,0.875,0.27193070707052214,0.7839473333333334,0.10614966666666667,0.5706774583271664,0.4236032113462669,0.7803819444444444,0.07291666666666667,0.1171875,0.044243360625,0.0008680555555555555,0.14994052473576752,0.45052274540371273
8,minus_failure_history,0.4661458333333333,0.8411458333333334,0.042443517462542546,0.7557461250000002,0.12479766666666667,0.5945669124706061,0.2899709145021645,0.7456597222222222,0.1293402777777778,0.11631944444444445,0.04023177058333333,0.0008680555555555555,0.1471598389386753,0.3754983993137606
